year,pop,gdp,carb
2021,7401.5,386983,6520
2020,7426.7,357576,6280
2019,7520.5,378939,6790
2018,7487.7,380543,6990
2017,7414.8,359810,6910
2016,7378.1,339476,6960
2015,7309.7,328924,6960
2014,7252.9,310113,6850
2013,7210.9,296599,6810
2012,7171,284720,6820
2011,7109.5,273549,6880
2010,7052.1,252887,7070
2009,6996.4,237960,7100
2008,6963.9,245406,7170
2007,6938.4,238676,7470
2006,6904.3,219240,7650
2005,6837.8,207263,7490
2004,6797.7,194140,7600
2003,6764.2,186704,7610
2002,6725.8,192367,7530
2001,6730.3,196765,7090
2000,6711.5,200675,7270
1999,6637.6,194649,7710
1998,6583.4,199898,7670
1997,6516.7,211592,7540
1996,6466.6,191951,7410
1995,6270,181772,7430
1994,6119.3,173909,7520
1993,5998,157772,7210
1992,5887.6,139148,7110
1991,5815.3,120188,6720
1990,5752,105050,6160
